number of cooks =10,number of max customers per minute = 4,number of Cashiers = 3,
Order Number,Time Taken,number of bagels,time finished,
1,10,2,10,
7,5,1,11,
8,5,1,14,
2,20,4,20,
6,15,3,21,
4,20,4,23,
3,25,5,28,
12,15,3,30,
9,20,4,32,
5,30,6,33,
13,15,3,33,
14,10,2,34,
10,25,5,37,
15,15,3,45,
16,15,3,45,
11,30,6,45,
18,10,2,46,
23,5,1,53,
17,25,5,55,
19,20,4,56,
20,20,4,56,
26,5,1,59,
25,15,3,66,
27,10,2,67,
32,5,1,68,
24,20,4,71,
22,25,5,73,
36,11,1,77,
21,30,6,78,
34,15,2,78,
37,13,1,79,
30,20,4,80,
31,20,4,80,
28,25,5,82,
38,14,1,83,
40,15,1,84,
43,11,1,86,
29,30,6,87,
35,23,4,89,
33,29,5,92,
44,15,2,93,
49,8,1,95,
46,19,3,100,
41,25,4,100,
47,21,3,102,
50,16,2,103,
42,31,5,106,
39,40,6,109,
51,19,3,109,
45,28,5,109,
54,18,2,111,
52,21,3,111,
58,16,1,115,
53,26,3,116,
61,12,1,117,
48,34,6,118,
63,10,1,121,
55,30,4,123,
66,10,1,124,
59,26,3,125,
57,31,4,127,
60,28,4,130,
70,8,1,131,
62,21,4,132,
56,41,6,134,
71,15,2,138,
69,20,3,140,
75,8,1,140,
67,22,4,142,
64,28,5,142,
65,29,5,143,
72,23,3,146,
80,7,1,148,
74,16,3,148,
68,34,6,154,
77,21,3,156,
73,31,5,157,
81,18,3,159,
84,12,2,159,
79,28,4,163,
76,32,5,164,
90,16,1,169,
83,25,4,169,
78,36,6,171,
82,31,5,172,
88,25,3,175,
85,28,4,175,
89,22,3,175,
86,30,4,177,
94,18,1,177,
87,33,5,183,
95,29,3,188,
100,14,2,188,
101,15,1,189,
93,34,4,190,
102,17,1,194,
92,39,5,195,
91,42,6,195,
96,37,4,196,
103,19,2,199,
104,20,2,200,
108,15,1,201,
99,29,5,203,
106,19,2,205,
105,23,3,206,
97,44,6,206,
98,38,6,206,
110,18,2,210,
115,14,1,212,
107,30,4,216,
111,24,3,216,
109,28,4,217,
116,19,2,217,
117,16,2,217,
119,14,1,218,
113,24,3,219,
125,14,1,224,
126,12,1,225,
114,31,4,226,
118,25,3,226,
112,35,5,227,
120,28,3,232,
123,26,3,233,
121,33,4,237,
129,23,3,242,
132,18,2,243,
131,18,3,243,
134,6,1,243,
133,10,2,247,
122,41,6,248,
124,38,6,248,
127,34,5,250,
130,30,5,252,
136,14,2,254,
142,7,1,256,
128,40,6,256,
137,16,3,259,
138,16,3,259,
144,5,1,266,
143,16,3,268,
