number of cooks =10,number of max customers per minute = 2,number of Cashiers = 3,
Order Number,Time Taken,number of ordered things,satisfaction
1,30,6,0,
2,30,6,0,
3,30,6,0,
4,30,6,0,
5,30,6,0,
6,30,6,0,
7,30,6,0,
8,30,6,0,
9,30,6,0,
10,30,6,0,
11,30,6,0,
12,30,6,0,
13,30,6,0,
14,30,6,0,
15,30,6,0,
16,30,6,0,
17,30,6,0,
18,30,6,0,
19,30,6,0,
20,30,6,0,
21,30,6,0,
22,30,6,0,
23,30,6,0,
24,30,6,0,
25,30,6,0,
26,30,6,0,
27,30,6,0,
28,30,6,0,
29,30,6,0,
30,30,6,0,
31,30,6,0,
32,30,6,0,
33,30,6,0,
34,30,6,0,
35,30,6,0,
36,30,6,0,
37,30,6,0,
38,30,6,0,
39,30,6,0,
40,30,6,0,
41,30,6,0,
42,30,6,0,
43,30,6,0,
44,30,6,0,
45,30,6,0,
46,30,6,0,
47,30,6,0,
48,30,6,0,
49,30,6,0,
50,30,6,0,
51,30,6,0,
52,30,6,0,
53,30,6,0,
54,30,6,0,
55,30,6,0,
56,30,6,0,
57,30,6,0,
58,30,6,0,
59,30,6,0,
60,30,6,0,
61,30,6,0,
62,30,6,0,
63,30,6,0,
64,30,6,0,
65,30,6,0,
66,30,6,0,
67,30,6,0,
68,30,6,0,
69,30,6,0,
70,30,6,0,
71,30,6,0,
72,30,6,0,
73,30,6,0,
74,30,6,0,
75,30,6,0,
76,30,6,0,
77,30,6,0,
78,30,6,0,
79,30,6,0,
80,30,6,0,
81,30,6,0,
82,30,6,0,
83,30,6,0,
84,30,6,0,
85,30,6,0,
86,30,6,0,
87,30,6,0,
88,30,6,0,
89,30,6,0,
90,30,6,0,
91,30,6,0,
92,30,6,0,
93,30,6,0,
94,30,6,0,
95,30,6,0,
96,30,6,0,
97,30,6,0,
98,30,6,0,
99,30,6,0,
100,30,6,0,
101,30,6,0,
102,30,6,0,
103,30,6,0,
104,30,6,0,
105,30,6,0,
106,30,6,0,
107,30,6,0,
108,30,6,0,
109,30,6,0,
110,30,6,0,
111,30,6,0,
112,30,6,0,
113,30,6,0,
114,30,6,0,
115,30,6,0,
116,30,6,0,
117,30,6,0,
118,30,6,0,
119,30,6,0,
120,30,6,0,
121,30,6,0,
122,30,6,0,
123,30,6,0,
124,30,6,0,
125,30,6,0,
126,30,6,0,
127,30,6,0,
