number of cooks =10,number of max customers per minute = 2,number of Cashiers = 3,
Order Number,Time Taken,number of ordered things,satisfaction
1,30,2,0,
2,30,2,0,
5,15,1,0,
6,15,1,0,
3,45,3,0,
4,45,3,0,
9,15,1,0,
7,30,2,0,
8,30,2,0,
11,30,2,0,
10,45,3,0,
17,15,1,0,
14,30,2,0,
12,45,3,0,
16,30,2,0,
13,45,3,0,
18,30,2,0,
15,45,3,0,
24,15,1,0,
22,30,2,0,
19,45,3,0,
20,45,3,0,
21,45,3,0,
23,45,3,0,
25,45,3,0,
27,30,2,0,
29,15,1,0,
28,30,2,0,
26,45,3,0,
32,15,1,0,
31,30,2,0,
30,45,3,0,
33,45,3,0,
36,30,2,0,
34,45,3,0,
35,45,3,0,
43,16,1,1,
40,30,2,0,
37,45,3,0,
41,30,2,0,
38,45,3,0,
39,45,3,0,
44,31,2,1,
47,15,1,0,
42,45,3,0,
45,46,3,1,
52,15,1,0,
46,45,3,0,
53,15,1,0,
50,30,2,0,
51,30,2,0,
48,45,3,0,
49,45,3,0,
54,30,2,0,
55,30,2,0,
57,15,1,0,
59,15,1,0,
56,45,3,0,
58,30,2,0,
60,30,2,0,
65,15,1,0,
66,15,1,0,
67,15,1,0,
61,45,3,0,
69,15,1,0,
62,45,3,0,
72,15,1,0,
63,45,3,0,
68,30,2,0,
64,45,3,0,
74,15,1,0,
70,30,2,0,
75,15,1,0,
77,15,1,0,
71,45,3,0,
73,45,3,0,
79,30,2,0,
76,45,3,0,
78,45,3,0,
83,15,1,0,
80,30,2,0,
82,30,2,0,
84,30,2,0,
81,45,3,0,
87,15,1,0,
86,30,2,0,
85,45,3,0,
88,30,2,0,
89,15,1,0,
93,15,1,0,
90,30,2,0,
91,30,2,0,
95,30,2,0,
92,45,3,0,
94,45,3,0,
98,15,1,0,
96,30,2,0,
100,15,1,0,
97,45,3,0,
99,45,3,0,
102,30,2,0,
101,45,3,0,
104,30,2,0,
103,45,3,0,
107,15,1,0,
105,45,3,0,
106,45,3,0,
110,15,1,0,
109,30,2,0,
108,45,3,0,
111,30,2,0,
115,15,1,0,
116,15,1,0,
112,45,3,0,
113,30,2,0,
114,30,2,0,
118,15,1,0,
117,30,2,0,
119,30,2,0,
120,30,2,0,
121,30,2,0,
123,15,1,0,
124,15,1,0,
122,30,2,0,
