number of cooks =6,number of max customers per minute = 5,number of Cashiers = 4,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
44327,14,2,0,
44328,14,2,0,
44326,28,4,0,
44331,14,2,0,
44329,21,3,0,
44332,14,2,0,
44333,14,2,0,
44334,14,2,0,
44330,28,4,0,
44336,23,3,2,
44339,7,1,0,
44335,28,4,0,
44340,7,1,0,
44342,7,1,0,
44337,21,3,0,
44338,21,3,0,
44341,21,3,0,
44343,21,3,0,
44345,21,3,0,
44344,28,4,0,
44347,7,1,0,
44346,21,3,0,
44353,16,2,2,
44348,28,4,0,
44349,28,4,0,
44350,21,3,0,
44351,21,3,0,
44352,21,3,0,
44355,16,1,9,
44354,28,3,7,
44360,7,1,0,
44356,21,3,0,
44357,21,3,0,
44359,14,2,0,
44361,14,2,0,
44358,28,4,0,
44362,14,2,0,
44364,7,1,0,
44363,21,3,0,
44365,14,2,0,
44367,7,1,0,
44368,7,1,0,
44366,14,2,0,
44369,21,3,0,
44374,7,1,0,
44370,21,3,0,
44371,28,4,0,
44372,21,3,0,
44377,7,1,0,
44373,28,4,0,
44375,21,3,0,
44380,7,1,0,
44381,7,1,0,
44376,28,4,0,
44378,21,3,0,
44382,7,1,0,
44385,7,1,0,
44379,21,3,0,
44383,14,2,0,
44384,21,3,0,
44386,14,2,0,
44387,14,2,0,
44392,12,1,5,
44390,14,2,0,
44391,14,2,0,
44393,7,1,0,
44388,28,4,0,
44389,21,3,0,
44395,12,1,5,
44396,12,1,5,
44397,14,2,0,
44394,31,4,3,
44398,14,2,0,
44401,7,1,0,
44402,7,1,0,
44399,28,4,0,
44400,28,4,0,
44404,7,1,0,
44403,21,3,0,
44407,7,1,0,
44405,21,3,0,
44408,14,2,0,
44406,28,4,0,
44409,21,3,0,
44412,16,2,2,
44410,30,4,2,
44413,14,2,0,
44414,7,1,0,
44416,7,1,0,
44411,28,4,0,
44415,14,2,0,
44418,7,1,0,
44420,7,1,0,
44417,29,4,1,
44422,7,1,0,
44423,7,1,0,
44419,21,3,0,
44424,14,2,0,
44421,21,3,0,
44426,7,1,0,
44427,7,1,0,
44425,21,3,0,
44429,14,2,0,
44428,28,4,0,
44430,21,3,0,
44431,21,3,0,
44433,7,1,0,
44434,7,1,0,
44432,28,4,0,
44435,14,2,0,
44437,7,1,0,
44436,14,2,0,
44439,14,2,0,
44440,14,2,0,
44438,28,4,0,
44445,7,1,0,
44442,21,3,0,
44441,28,4,0,
44443,28,4,0,
44444,28,4,0,
44446,21,3,0,
44447,21,3,0,
44448,30,4,2,
44451,23,2,9,
44452,26,2,12,
44453,26,2,12,
44449,37,4,9,
44450,30,3,9,
44454,25,2,11,
44456,21,2,7,
44455,25,3,4,
44457,35,4,7,
44458,28,4,0,
44459,28,4,0,
44460,14,2,0,
