number of cooks =6,number of max customers per minute = 5,number of Cashiers = 4,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
45692,15,1,0,
45694,15,1,0,
45689,30,2,0,
45690,30,2,0,
45695,21,1,6,
45693,30,2,0,
45691,45,3,0,
45696,15,1,0,
45697,16,1,1,
45698,16,1,1,
45699,15,1,0,
45700,31,2,1,
45703,15,1,0,
45705,30,2,0,
45707,21,1,6,
45701,45,3,0,
45702,45,3,0,
45704,45,3,0,
45709,27,1,12,
45706,47,3,2,
45710,46,2,16,
45708,66,3,21,
45711,61,3,16,
45715,52,1,37,
45712,71,3,26,
45713,63,3,18,
45714,73,3,28,
45718,73,2,43,
45719,82,2,52,
45716,92,3,47,
45717,87,3,42,
45722,79,1,64,
45721,84,2,54,
45720,99,3,54,
45726,65,1,50,
45723,103,2,73,
45724,103,2,73,
45729,61,1,46,
45730,69,1,54,
45725,93,3,48,
45727,90,3,45,
45728,85,3,40,
45731,89,3,44,
45733,80,2,50,
45736,71,1,56,
45734,74,2,44,
45732,87,3,42,
45735,81,2,51,
45738,56,1,41,
45740,40,1,25,
45741,58,2,28,
45742,52,2,22,
45737,115,3,70,
45739,77,3,32,
45743,57,2,27,
45744,61,2,31,
45745,54,1,39,
45749,43,1,28,
45748,58,2,28,
45752,49,1,34,
45750,62,2,32,
45751,65,2,35,
45746,88,3,43,
45747,91,3,46,
45754,45,1,30,
45756,51,1,36,
45758,47,1,32,
45755,63,2,33,
45753,94,3,49,
45757,74,3,29,
45759,71,3,26,
45760,77,3,32,
45761,73,3,28,
45763,55,2,25,
45762,59,3,14,
45766,53,1,38,
45764,65,2,35,
45768,61,1,46,
45772,47,1,32,
45765,87,3,42,
45770,74,2,44,
45771,56,2,26,
45767,89,3,44,
45774,53,1,38,
45769,95,3,50,
45776,32,1,17,
45779,31,1,16,
45775,45,2,15,
45777,40,2,10,
45773,93,3,48,
45778,44,2,14,
45782,41,1,26,
45780,58,3,13,
45783,61,2,31,
45784,54,2,24,
45785,55,2,25,
45781,67,3,22,
45786,62,2,32,
45788,57,1,42,
45790,61,1,46,
45791,53,1,38,
45792,48,1,33,
45787,94,3,49,
45793,68,2,38,
45789,90,3,45,
45794,52,2,22,
45795,54,2,24,
45796,74,3,29,
45798,69,2,39,
45800,63,2,33,
45797,80,3,35,
45799,86,3,41,
45801,80,3,35,
45802,85,2,55,
45805,66,1,51,
45803,90,2,60,
45804,84,2,54,
45806,87,2,57,
45807,91,2,61,
45808,96,2,66,
45810,91,2,61,
45812,93,1,78,
45809,102,3,57,
45815,87,1,72,
45811,110,3,65,
45814,97,2,67,
45813,107,3,62,
45817,103,2,73,
45818,98,2,68,
45816,109,3,64,
45819,81,2,51,
45823,74,1,59,
45821,88,2,58,
45820,93,3,48,
45822,94,2,64,
45826,80,1,65,
45824,105,3,60,
45825,107,3,62,
45830,91,2,61,
45832,73,1,58,
45827,114,3,69,
45828,109,3,64,
45829,100,3,55,
45831,106,2,76,
45833,87,1,72,
45834,89,1,74,
45835,95,2,65,
45837,101,2,71,
45836,115,3,70,
