number of cooks =4,number of max customers per minute = 3,number of Cashiers = 4,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
27931,6,2,0,
27933,9,3,0,
27932,12,4,0,
27934,12,4,0,
27935,9,3,0,
27936,6,2,0,
27937,9,3,0,
27938,12,4,0,
27939,15,5,0,
27940,18,6,0,
27941,9,3,0,
27942,12,4,0,
27943,6,2,0,
27945,6,2,0,
27946,3,1,0,
27944,18,6,0,
27947,9,3,0,
27949,12,4,0,
27950,3,1,0,
27948,18,6,0,
27951,9,3,0,
27952,9,3,0,
27953,15,5,0,
27954,9,3,0,
27955,3,1,0,
27956,9,3,0,
27957,9,3,0,
27958,18,6,0,
27959,18,6,0,
27960,6,2,0,
27961,9,3,0,
27962,9,3,0,
27963,6,2,0,
27964,12,4,0,
27965,6,2,0,
27966,18,6,0,
27967,9,3,0,
27968,3,1,0,
27969,12,4,0,
27970,18,6,0,
27971,9,3,0,
27973,9,3,0,
27972,12,4,0,
27975,9,3,0,
27974,12,4,0,
27976,12,4,0,
27977,6,2,0,
27978,18,6,0,
27980,6,2,0,
27979,9,3,0,
27982,6,2,0,
27981,12,4,0,
27983,6,2,0,
27984,6,2,0,
27986,3,1,0,
27987,3,1,0,
27985,18,6,0,
27988,15,5,0,
27991,6,2,0,
27989,18,6,0,
27990,12,4,0,
27992,12,4,0,
27993,12,4,0,
27994,3,1,0,
27995,12,4,0,
27998,3,1,0,
27996,15,5,0,
27997,6,2,0,
27999,6,2,0,
28000,15,5,0,
28001,6,2,0,
28002,9,3,0,
28003,3,1,0,
